ylo yhi PDF0  uncertainty
0 0.6 146643.7472515665 1.977350597151991
0.6 1.2 143570.9518171898 1.708352738436588
1.2 1.8 137610.2367684692 11.79868075588784
1.8 2.4 128537.1468180662 3.993259071764364
2.4 3 110557.8787074596 3.077747525578398
3 3.6 76209.68882213267 0.6697782647974032
3.6 4.2 39357.58650597075 1.440693925395033
4.2 4.8 19905.2289264865 1.087908797126234
4.8 5.4 5075.264619038991 0.1108112553132965
5.4 6 133.3719571191234 0.003138129756321944
