q2lo q2hi PDF0 uncertainty
15 20 250 2.4
20 25 99 1.1
25 30 53 0.64
30 35 28 0.3
35 40 17 0.15
40 45 12 0.097
45 50 8.5 0.067
50 55 6.3 0.055
55 60 5.3 0.050
60 64 4.9 0.056
64 68 4.9 0.058
68 72 5.4 0.059
72 76 6.5 0.068
76 81 9.7 0.070
81 86 21 0.11
86 91 150 0.27
91 96 160 0.27
96 101 14 0.085
101 106 4.9 0.048
