ylo yhi PDF0  uncertainty
0 0.6 243059.3346031477 13.1010171842947
0.6 1.2 237489.6209043362 10.47689062749546
1.2 1.8 226762.2667470951 5.057677152417676
1.8 2.4 211876.946500071 3.843439253608908
2.4 3 193231.9655829314 15.28256078049327
3 3.6 162955.6317455402 1.276682882225218
3.6 4.2 110430.7233951967 1.375345793848043
4.2 4.8 55655.07213367829 1.988253722893516
4.8 5.4 28144.433740047 1.045672327892226
5.4 6 7464.982913412176 0.6480822276406479
